date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:52	30321/30321	---M-Z	200	added ('OK')	text/html	etag:%2230A6C73D72517FA980B74DB981033B9C%22	https://www.plazavea.com.pe/	C:/proyectsHTrack/proyect02/www.plazavea.com.pe/index.html	(from )
10:16:52	213/213	---M-Z	200	added ('OK')	text/plain	date:Thu,%2003%20Nov%202022%2015:16:50%20GMT	https://www.plazavea.com.pe/robots.txt		(from )
10:16:53	8540/8540	---M--	200	added ('OK')	image/png	date:Mon,%2027%20May%202019%2019:54:58%20GMT	https://plazavea.vteximg.com.br/arquivos/icon-pwa-512x512.png?v=636945836907500000	C:/proyectsHTrack/proyect02/plazavea.vteximg.com.br/arquivos/icon-pwa-512x5123fad.png	(from https://www.plazavea.com.pe/)
10:16:53	1424/1424	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Dec%202016%2019:28:35%20GMT	https://plazavea.vteximg.com.br/arquivos/pvfood-256x256.png?v=636166493074170000	C:/proyectsHTrack/proyect02/plazavea.vteximg.com.br/arquivos/pvfood-256x256191d.png	(from https://www.plazavea.com.pe/)
10:16:54	1414/1414	---MCZ	200	added ('OK')	application/json	date:Thu,%2003%20Nov%202022%2015:16:53%20GMT	https://www.plazavea.com.pe/files/manifest--pwa.json	C:/proyectsHTrack/proyect02/www.plazavea.com.pe/files/manifest--pwa.json	(from https://www.plazavea.com.pe/)
10:16:54	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2015:16:53%20GMT	https://www.plazavea.com.pe/checkout/cart/add	C:/proyectsHTrack/proyect02/www.plazavea.com.pe/checkout/cart/add	(from https://www.plazavea.com.pe/)
10:16:54	21964/21964	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:16:53%20GMT	https://www.plazavea.com.pe/checkout/	C:/proyectsHTrack/proyect02/www.plazavea.com.pe/checkout/index.html	(from https://www.plazavea.com.pe/)
10:16:54	93636/93636	---MCZ	200	added ('OK')	application/javascript	etag:W/%223576a6e73c9dccdbbc4a2cf8ff544ad7%22	https://io.vtex.com.br/front-libs/jquery/1.8.3/jquery-1.8.3.min.js?v=1.5.63.2494	C:/proyectsHTrack/proyect02/io.vtex.com.br/front-libs/jquery/1.8.3/jquery-1.8.3.mina44e.js	(from https://www.plazavea.com.pe/)
10:16:55	12324/12324	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2233cca7aead105276606536984f503d00%22	https://plazavea.vteximg.com.br/scripts/swfobject.js?v=1.5.63.2494	C:/proyectsHTrack/proyect02/plazavea.vteximg.com.br/scripts/swfobjecta44e.js	(from https://www.plazavea.com.pe/)
10:16:55	595/595	---M--	200	added ('OK')	application/x-javascript	etag:%2212a2504c83c60c899a9b9223fcd2aa60%22	https://plazavea.vteximg.com.br/scripts/vtex.ajax.wait.js?v=1.5.63.2494	C:/proyectsHTrack/proyect02/plazavea.vteximg.com.br/scripts/vtex.ajax.waita44e.js	(from https://www.plazavea.com.pe/)
10:16:55	446061/446061	---MCZ	200	added ('OK')	text/html	etag:%22A975919CCDFA43F07697F214AFDDFA26%22	https://www.plazavea.com.pe/S/	C:/proyectsHTrack/proyect02/www.plazavea.com.pe/S/index.html	(from https://www.plazavea.com.pe/)
